# Lodd svinger i fjær.
# Masse: 89 gram.
# Tid t i sekunder.
# Utslag y i meter.
#
# Kilde: Knut Skrindo
#
t;y
0.03333333333;-0.1208992089
0.06666666667;-0.11808019430000005
0.1;-0.0947946033
0.1333333333;-0.07175448610000001
0.1666666667;-0.045898551300000034
0.2;-0.017791340300000014
0.2333333333;0.010224960099999958
0.2666666667;0.03964700659999998
0.3;0.06728839569999995
0.3333333333;0.09378119749999997
0.3666666667;0.11584055699999996
0.4;0.13367709809999997
0.4333333333;0.14671068469999998
0.4666666667;0.15464114369999998
0.5;0.15898708739999998
0.5333333333;0.15840319899999997
0.5666666667;0.15367802539999997
0.6;0.14457636389999998
0.6333333333;0.13006672559999996
0.6666666667;0.11021508629999999
0.7;0.08629827289999997
0.7333333333;0.06110495489999995
0.7666666667;0.03337281329999997
0.8;0.00572603129999999
0.8333333333;-0.02294320890000001
0.8666666667;-0.04914348620000003
0.9;-0.07450046900000001
0.9333333333;-0.09707335260000005
0.9666666667;-0.11835190020000003
1.0;-0.13652207280000006
1.033333333;-0.14844953690000007
1.066666667;-0.15731082140000008
1.1;-0.15981913170000006
1.133333333;-0.1563893233
1.166666667;-0.14906400800000008
1.2;-0.13686415240000005
1.233333333;-0.12128533620000004
1.266666667;-0.102128245
1.3;-0.07885214530000001
1.333333333;-0.05313321140000005
1.366666667;-0.024647750000000024
1.4;0.004661617399999984
1.433333333;0.0336909641
1.466666667;0.06254164749999996
1.5;0.08886572739999998
1.533333333;0.11074599829999998
1.566666667;0.12863022229999999
1.6;0.14310057619999997
1.633333333;0.15279167759999998
1.666666667;0.15875874169999998
1.7;0.16005107789999998
1.733333333;0.15599732449999998
1.766666667;0.14684239289999998
1.8;0.13174165339999996
1.833333333;0.11237253809999997
1.866666667;0.0894082162
1.9;0.06388324109999999
1.933333333;0.038117209799999996
1.966666667;0.011612549599999966
2.0;-0.014647205800000007
2.033333333;-0.04179092320000005
2.066666667;-0.06772177570000004
2.1;-0.09183077920000005
2.133333333;-0.11319158550000002
2.166666667;-0.13112091810000004
2.2;-0.1442673793
2.233333333;-0.15236934740000008
2.266666667;-0.15582177419999999
2.3;-0.1533307906
2.333333333;-0.14687249980000006
2.366666667;-0.13633370509999998
2.4;-0.12386248730000005
2.433333333;-0.10602235840000002
2.466666667;-0.0831218252
2.5;-0.05799527680000005
2.533333333;-0.030021507700000005
2.566666667;-0.000548784400000002
2.6;0.028474893699999948
2.633333333;0.0553299639
2.666666667;0.08162644159999999
2.7;0.10446478869999998
2.733333333;0.12316806839999997
2.766666667;0.13833242219999997
2.8;0.15010983659999996
2.833333333;0.1579139415
2.866666667;0.16002816879999998
2.9;0.15739831719999997
2.933333333;0.14806273699999997
2.966666667;0.13398744519999997
3.0;0.11473143819999998
3.033333333;0.09320953859999997
3.066666667;0.06865179709999997
3.1;0.04428799899999997
3.133333333;0.01891325119999998
3.166666667;-0.00747343770000003
3.2;-0.034964664800000045
3.233333333;-0.061323072000000034
3.266666667;-0.0863011669
3.3;-0.10756140590000002
3.333333333;-0.1252647087
3.366666667;-0.13939563659999998
3.4;-0.1470658239
3.433333333;-0.15053768880000007
3.466666667;-0.1497056027
3.5;-0.14490718460000007
3.533333333;-0.1364029818
3.566666667;-0.12361423800000004
3.6;-0.10623671030000004
3.633333333;-0.08549656310000003
3.666666667;-0.06052246660000005
3.7;-0.033435823600000025
3.733333333;-0.005131140300000003
3.766666667;0.02293390489999997
3.8;0.0492377376
3.833333333;0.07337381539999999
3.866666667;0.09849153099999997
3.9;0.11913950689999997
3.933333333;0.13595383519999998
3.966666667;0.15013377329999997
4.0;0.15858628999999996
4.033333333;0.16109568619999998
4.066666667;0.15749312039999996
4.1;0.14851182089999998
4.133333333;0.13526154609999996
4.166666667;0.11711372909999995
4.2;0.09654449789999997
4.233333333;0.07325034259999996
4.266666667;0.04896348119999999
4.3;0.022846170599999993
4.333333333;-0.003995201400000037
4.366666667;-0.03255845440000005
4.4;-0.058963286500000045
4.433333333;-0.08331265390000003
4.466666667;-0.10471747040000001
4.5;-0.12113833780000005
4.533333333;-0.1340093712
4.566666667;-0.1425356365
4.6;-0.14691556910000003
4.633333333;-0.14792321630000005
4.666666667;-0.1444301267
4.7;-0.13697284519999997
4.733333333;-0.12499313810000001
4.766666667;-0.10715623510000005
4.8;-0.0862880963
4.833333333;-0.06281044830000004
4.866666667;-0.03634270210000001
4.9;-0.010054270300000001
4.933333333;0.016698079399999954
4.966666667;0.04322203079999998
5.0;0.06828138109999998
5.033333333;0.0927511204
5.066666667;0.11518619119999995
5.1;0.13356894619999998
5.133333333;0.14675984649999999
5.166666667;0.15539425799999998
5.2;0.15857351859999996
5.233333333;0.15591597439999996
5.266666667;0.14822550959999997
5.3;0.13691648029999998
5.333333333;0.12132056769999996
5.366666667;0.10142701969999995
5.4;0.07792836679999998
5.433333333;0.05446500739999999
5.466666667;0.027397801499999985
5.5;-0.0001528865000000046
5.533333333;-0.028896105900000024
5.566666667;-0.05646454500000003
5.6;-0.07973742570000003
5.633333333;-0.10017968960000001
5.666666667;-0.11787914760000001
5.7;-0.13056958280000003
5.733333333;-0.14123533080000006
5.766666667;-0.14716561490000002
5.8;-0.1481579596
5.833333333;-0.14458194180000006
5.8667;-0.13807925659999998
5.900033333;-0.1259634135
5.933366667;-0.10916710100000004
5.9667;-0.08799993730000005
6.000033333;-0.06537737660000004
6.033366667;-0.04033491440000003
6.0667;-0.014672385200000027
6.100033333;0.01104915099999998
6.133366667;0.03735379329999999
6.1667;0.0637328324
